MethodID,package,class,method,LOC,CYCLO,ATFD,LAA,is_long_method,iPlasma,PMD,is_feature_envy
96,org.quickserver.net.qsadmin.gui,Propertie,addToPanel(Container;GridBagConstraints;PropertiePanel;QSAdminMain),98,7,0,1,FALSE,FALSE,FALSE,FALSE
97,org.java.plugin.tools,PluginArchiver,pack(PluginDescriptor;PathResolver;File),7,1,0,0,FALSE,FALSE,FALSE,FALSE
98,org.java.plugin.tools,PluginArchiver,pack(PluginFragment;PathResolver;File),7,1,0,0,FALSE,FALSE,FALSE,FALSE
99,org.java.plugin.tools,PluginArchiver,pack(URL;String;File),20,3,0,0,FALSE,FALSE,FALSE,FALSE
100,org.java.plugin.tools,PluginArchiver,pack(PluginRegistry;PathResolver;File),10,1,0,0,FALSE,FALSE,FALSE,FALSE
101,org.java.plugin.tools.ant,BaseJpfTask,initRegistry(boolean),80,17,0,1,TRUE,TRUE,TRUE,FALSE
102,org.java.plugin.standard,ShadowDataController,shadowResource(URL;String;boolean),147,23,0,1,TRUE,TRUE,TRUE,FALSE
103,org.java.plugin.registry.xml,PluginRegistryImpl,register(URL[]),164,28,4,0.666667,TRUE,TRUE,TRUE,FALSE
104,org.picocontainer.security,CustomPermissionsURLClassLoader,CustomPermissionsURLClassLoader(URL[];Map;ClassLoader),4,1,0,1,FALSE,FALSE,FALSE,FALSE
105,org.picocontainer.security,CustomPermissionsURLClassLoader,loadClass(String),7,2,0,0,FALSE,FALSE,FALSE,FALSE
106,org.picocontainer.security,CustomPermissionsURLClassLoader,findClass(String),7,2,0,0,FALSE,FALSE,FALSE,FALSE
107,org.picocontainer.security,CustomPermissionsURLClassLoader,decorateException(String;ClassNotFoundException),19,3,0,0,FALSE,FALSE,TRUE,FALSE
108,freecs.auth.sqlConnectionPool,PoolElement,PoolElement(ConnectionPool;Connection;DbProperties;int),13,3,6,0.454545,FALSE,FALSE,FALSE,FALSE
109,freecs.auth.sqlConnectionPool,PoolElement,isValid(),20,7,4,0.636364,FALSE,FALSE,FALSE,FALSE
110,freecs.auth.sqlConnectionPool,PoolElement,cleanup(),40,10,3,0.7,FALSE,FALSE,FALSE,FALSE
111,freecs.auth.sqlConnectionPool,PoolElement,readColumns(User;ResultSet),108,43,29,0.064516,TRUE,TRUE,TRUE,TRUE
112,freecs.auth.sqlConnectionPool,PoolElement,logoutUser(User),136,52,17,0.227273,TRUE,TRUE,TRUE,TRUE
113,freecs.commands,CmdKickToRoom,execute(MessageState;String),120,24,15,0,TRUE,TRUE,TRUE,TRUE
114,freecs.util,HtmlEncoder,encode(String;StringBuffer;boolean;Set),406,127,0,1,TRUE,TRUE,TRUE,FALSE
115,com.finalist.jag.uml,UML2JagGenerator,UML2JagGenerator(ConsoleLogger),4,1,0,1,FALSE,FALSE,FALSE,FALSE
116,com.finalist.jag.uml,UML2JagGenerator,UML2JagGenerator(),3,1,0,1,FALSE,FALSE,FALSE,FALSE
117,com.finalist.jag.uml,UML2JagGenerator,generateXML(String;String),20,3,0,1,FALSE,FALSE,FALSE,FALSE
118,com.finalist.jag.uml,UML2JagGenerator,generateXML(SimpleModel;String),30,2,0,1,FALSE,FALSE,FALSE,FALSE
119,com.finalist.jag.uml,UML2JagGenerator,createEntityEJBs(SimpleModel),143,22,35,0.166667,TRUE,TRUE,TRUE,TRUE
120,com.finalist.jag.uml,UML2JagGenerator,createSessionEJBs(SimpleModel),102,18,12,0.076923,TRUE,TRUE,TRUE,TRUE
121,com.finalist.jaggenerator,SkeletValidator,validateSkelet(),374,87,24,0.076923,TRUE,TRUE,TRUE,TRUE
122,org.sunflow.core.camera,SphericalLens,update(ParameterList;SunflowAPI),3,1,0,0,FALSE,FALSE,FALSE,FALSE
123,org.sunflow.core.camera,SphericalLens,getRay(float;float;int;int;double;double;double),6,1,0,0,FALSE,FALSE,FALSE,FALSE
124,org.sunflow.core.camera,PinholeLens,PinholeLens(),5,1,0,1,FALSE,FALSE,FALSE,FALSE
125,org.sunflow.core.camera,PinholeLens,update(ParameterList;SunflowAPI),7,1,0,1,FALSE,FALSE,FALSE,FALSE
126,org.sunflow.core.camera,PinholeLens,update(),4,1,0,1,FALSE,FALSE,FALSE,FALSE
127,org.sunflow.image,Bitmap,Bitmap(String;boolean),241,55,2,0.666667,TRUE,TRUE,TRUE,FALSE
128,org.sunflow.core.shader,PhongShader,scatterPhoton(ShadingState;Color),38,3,11,0.153846,FALSE,FALSE,FALSE,TRUE
129,org.sunflow.core.accel,KDTree,buildTree(float;float;float;float;float;float;KDTree.BuildTask;int;IntArray;int;IntArray;KDTree.BuildStats),214,45,3,0.5625,TRUE,TRUE,TRUE,FALSE
130,org.sunflow.core.renderer,BucketRenderer,renderBucket(Display;int;int;int;IntersectionState),102,22,5,0.619048,TRUE,TRUE,TRUE,FALSE
131,marauroa.server.game.db,RPObjectDAO,RPObjectDAO(RPObjectFactory),3,1,0,1,FALSE,FALSE,FALSE,FALSE
132,org.jgrapht.experimental.permutation,CollectionPermutationIter,CollectionPermutationIter(Set),6,1,0,0,FALSE,FALSE,FALSE,FALSE
133,org.jgrapht.experimental.permutation,CollectionPermutationIter,CollectionPermutationIter(List),6,1,0,0,FALSE,FALSE,FALSE,FALSE
134,org.jgrapht.experimental.permutation,CollectionPermutationIter,CollectionPermutationIter(List;ArrayPermutationsIter),7,1,2,0,FALSE,FALSE,TRUE,FALSE
135,org.jgrapht.experimental.permutation,CollectionPermutationIter,hasNext(),4,1,1,0,FALSE,FALSE,FALSE,FALSE
136,org.jgrapht.graph,AbstractBaseGraph,AbstractBaseGraph(EdgeFactory;boolean;boolean),18,2,6,0,FALSE,FALSE,FALSE,TRUE
137,org.jgrapht.alg,KShortestPathsIterator,KShortestPathsIterator(Graph;Object;Object;int),20,1,7,0,FALSE,FALSE,FALSE,TRUE
138,com.vladium.jcd.cls.attribute,DeclaredExceptionTable,get(int),4,1,0,1,FALSE,FALSE,FALSE,FALSE
139,com.vladium.jcd.cls.attribute,DeclaredExceptionTable,size(),4,1,0,1,FALSE,FALSE,FALSE,FALSE
140,com.vladium.jcd.cls.attribute,DeclaredExceptionTable,length(),4,1,0,1,FALSE,FALSE,FALSE,FALSE
141,com.vladium.jcd.cls.attribute,DeclaredExceptionTable,clone(),16,2,0,1,FALSE,FALSE,FALSE,FALSE
142,com.vladium.util.args,OptsParser,parse(String[]),284,35,0,0.466667,TRUE,TRUE,TRUE,FALSE
143,com.vladium.emma.data,DataFactory,mergeload(File),104,21,3,0.5,TRUE,TRUE,TRUE,FALSE
144,com.vladium.emma.instr,InstrVisitor.clinitHeader,clinitHeader(InstrVisitor;int),51,4,10,0.166667,FALSE,FALSE,FALSE,TRUE
145,com.vladium.emma.report.html,ReportGenerator,embedSrcFile(SrcFileItem;HTMLDocument;IntObjectMap;SourcePathCache),169,22,16,0.448276,TRUE,TRUE,TRUE,FALSE
146,com.vladium.emma.report,AbstractReportGenerator,initialize(IMetaData;ICoverageData;SourcePathCache;IProperties),159,23,12,0.52381,TRUE,TRUE,TRUE,FALSE
147,org.apache.log4j.pattern,BridgePatternParser,BridgePatternParser(String),4,1,0,0,FALSE,FALSE,FALSE,FALSE
148,org.apache.log4j.pattern,BridgePatternParser,parse(),3,1,0,1,FALSE,FALSE,FALSE,FALSE
149,org.apache.log4j.pattern,ThreadPatternConverter,ThreadPatternConverter(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
150,org.apache.log4j.spi,LocationInfo,LocationInfo(Throwable;String),114,22,2,0.875,TRUE,TRUE,TRUE,FALSE
151,org.axiondb.jdbc,ConnectionFactory,isValidConnectString(String),3,1,0,1,FALSE,FALSE,FALSE,FALSE
152,org.axiondb.jdbc,ConnectionFactory,createConnection(String),15,3,0,1,FALSE,FALSE,FALSE,FALSE
153,org.axiondb.jdbc,AbstractAxionBlob,getBinaryStream(),3,1,0,0,FALSE,FALSE,TRUE,FALSE
154,org.axiondb.engine,BaseArrayIndex,supportsOperator(ComparisonOperator),19,7,7,0.142857,FALSE,FALSE,FALSE,TRUE
155,org.axiondb.parser,AxionSqlParser,SqlTableList(FromNode),26,5,5,0.166667,FALSE,FALSE,FALSE,TRUE
156,org.axiondb.engine.commands,SelectCommand,processFromTree(FromNode;Database),164,39,14,0.222222,TRUE,TRUE,TRUE,TRUE
157,org.jgraph.plugins.layouts,AnnealingLayoutSettings,AnnealingLayoutSettings(AnnealingLayoutAlgorithm;boolean),124,1,0,1,FALSE,FALSE,FALSE,FALSE
158,org.jgraph.plugins.layouts,AnnealingLayoutSettings,revert(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
159,org.jgraph.plugins.layouts,AnnealingLayoutSettings,initComponents(),722,9,1,0.984848,FALSE,FALSE,FALSE,FALSE
160,org.jgraph.plugins.layouts,GEMLayoutSettings,setOptimizationConfiguration(Properties),4,1,30,0.032258,FALSE,FALSE,FALSE,TRUE
161,org.microplatform.gui,org.microplatform.gui.MDIContainer$1,construct(),29,2,10,0,FALSE,FALSE,FALSE,TRUE
162,org.jext.textarea,CsWord,CsWord(int;int),6,2,0,1,FALSE,FALSE,FALSE,FALSE
163,org.jext.project,DefaultProjectManager,jextEventFired(JextEvent),21,8,9,0.181818,FALSE,FALSE,FALSE,TRUE
164,net.sourceforge.cobertura.javancss.parser.java15.debug,JavaParser15Debug,_formatPackage(String),7,2,0,0,FALSE,FALSE,FALSE,FALSE
165,net.sourceforge.cobertura.javancss.parser.java15.debug,JavaParser15Debug,parse(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
166,net.sourceforge.cobertura.javancss.parser.java15.debug,JavaParser15Debug,parseImportUnit(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
167,org.quartz.xml,XMLSchedulingDataProcessor,XMLSchedulingDataProcessor(ClassLoadHelper),4,1,0,1,FALSE,FALSE,FALSE,FALSE
168,org.quartz.xml,XMLSchedulingDataProcessor,initDocumentParser(),49,1,0,1,FALSE,FALSE,FALSE,FALSE
169,org.quartz.xml,XMLSchedulingDataProcessor,resolveSchemaSource(),24,2,0,1,FALSE,FALSE,FALSE,FALSE
170,org.quartz.xml,XMLSchedulingDataProcessor,process(InputSource),244,41,8,0.578947,TRUE,TRUE,TRUE,FALSE
171,org.quartz.xml,XMLSchedulingDataProcessor,scheduleJobs(Scheduler),176,41,6,0.142857,TRUE,TRUE,TRUE,TRUE
172,org.quartz.impl.jdbcjobstore,JobStoreSupport,clusterRecover(Connection;List),163,16,18,0.333333,TRUE,TRUE,TRUE,TRUE
173,com.anotherbigidea.flash.sound,MP3Frame,getBitRate(),1,1,0,1,FALSE,FALSE,FALSE,FALSE
174,com.anotherbigidea.flash.sound,MP3Frame,getSampleRate(),1,1,0,1,FALSE,FALSE,FALSE,FALSE
175,com.anotherbigidea.flash.sound,MP3Frame,isStereo(),1,1,0,1,FALSE,FALSE,FALSE,FALSE
176,com.anotherbigidea.flash.sound,MP3Helper,getSoundDefinition(InputStream),39,7,8,0,FALSE,FALSE,FALSE,TRUE
177,org.apache.velocity.convert,WebMacro,convert(String),30,4,0,1,FALSE,FALSE,TRUE,FALSE
178,org.apache.velocity.convert,WebMacro,writeTemplate(String;String;String),58,7,0,1,FALSE,FALSE,FALSE,FALSE
179,org.apache.velocity.convert,WebMacro,extractPath(String),6,2,0,0,FALSE,FALSE,FALSE,FALSE
180,com.ecyrd.management,SimpleMBean,findGetterSetter(Class;String;Class),18,3,0,0,FALSE,FALSE,FALSE,FALSE
181,com.ecyrd.jspwiki.plugin,PageViewPlugin.PageViewManager,execute(WikiContext;Map),210,48,21,0.16,TRUE,TRUE,TRUE,TRUE
182,com.ecyrd.jspwiki.plugin,RecentChangesPlugin,execute(WikiContext;Map),156,13,11,0.214286,TRUE,TRUE,TRUE,TRUE
183,com.jgraph.layout,JGraphExampleLayoutCache,JGraphExampleLayoutCache(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
184,com.jgraph.layout,JGraphExampleLayoutCache,JGraphExampleLayoutCache(JGraphExampleGraph),5,1,2,0.666667,FALSE,FALSE,FALSE,FALSE
185,com.jgraph.layout.hierarchical,JGraphMedianHybridCrossingReduction,transpose(int;JGraphHierarchyModel),138,25,1,0,TRUE,TRUE,TRUE,FALSE
186,org.exolab.jms.tranlog,DataTransactionLogEntry,DataTransactionLogEntry(),2,1,0,0,FALSE,FALSE,FALSE,FALSE
187,org.exolab.jms.tranlog,DataTransactionLogEntry,DataTransactionLogEntry(ExternalXid;String),3,1,0,0,FALSE,FALSE,FALSE,FALSE
188,org.exolab.jms.tranlog,DataTransactionLogEntry,DataTransactionLogEntry(ExternalXid;String;long),3,1,0,0,FALSE,FALSE,FALSE,FALSE
189,org.exolab.jms.plugins.proxygen,ProxyGenerator,generateMethod(Method;SourceWriter),153,36,0,1,TRUE,TRUE,TRUE,FALSE
190,org.exolab.jms.net.uri,URIHelper,convertHostToAddress(URI),20,5,7,0,FALSE,FALSE,FALSE,TRUE
191,fitlibrary.specify.entityParser,UserAdapter,addDebt(User;double),4,1,0,0,FALSE,FALSE,FALSE,FALSE
192,fitlibrary.specify.entityParser,UserAdapter,findUser(String),6,2,0,1,FALSE,FALSE,FALSE,FALSE
193,fitlibraryGeneric.list,ListParser2,parseTable(Table;TestResults),27,8,5,0.285714,FALSE,FALSE,FALSE,TRUE
194,cern.jet.math,NumericalIntegration,NumericalIntegration(),1,1,0,0,FALSE,FALSE,FALSE,FALSE
195,cern.jet.math,Exponential,Exponential(),1,1,0,0,FALSE,FALSE,FALSE,FALSE
196,cern.jet.math,ExponentialIntegral,ExponentialIntegral(),1,1,0,0,FALSE,FALSE,FALSE,FALSE
197,cern.colt.matrix.linalg,EigenvalueDecomposition,hqr2(),438,69,0,1,TRUE,TRUE,TRUE,FALSE
198,cern.colt.bitvector,BitVector,forEachIndexFromToInState(int;int;boolean;IntProcedure),111,21,1,0.666667,TRUE,TRUE,TRUE,FALSE
199,edu.uci.ics.jung.visualization3d.decorators,PickableVertexPaintTransformer,PickableVertexPaintTransformer(PickedInfo;Paint;Paint),11,2,3,0,FALSE,FALSE,FALSE,FALSE
200,edu.uci.ics.jung.visualization3d.decorators,PickableVertexPaintTransformer,transform(Object),7,2,3,0,FALSE,FALSE,FALSE,FALSE
201,edu.uci.ics.jung.io.graphml.parser,GraphElementParser,GraphElementParser(ParserContext),3,1,0,0,FALSE,FALSE,TRUE,FALSE
202,net.suberic.pooka.resource,JDBCResourceManager,createVariableBundle(String;VariableBundle),22,2,0,0,FALSE,FALSE,FALSE,FALSE
203,net.suberic.pooka.resource,JDBCResourceManager,createMailcap(String),3,1,0,0,FALSE,FALSE,FALSE,FALSE
204,net.suberic.pooka.resource,JDBCResourceManager,createPookaTrustManager(TrustManager[];String),3,1,0,0,FALSE,FALSE,FALSE,FALSE
205,net.suberic.pooka.gui.search,SearchEntryPanel,setEnabled(boolean),10,2,11,0.176471,FALSE,FALSE,FALSE,TRUE
206,net.suberic.pooka.thread,LoadMessageThread,loadWaitingMessages(),171,39,10,0.230769,TRUE,TRUE,TRUE,TRUE
207,net.suberic.pooka.cache,CachingFolderInfo,loadFolder(boolean),121,33,8,0.944444,TRUE,TRUE,TRUE,FALSE
208,org.lnicholls.galleon.apps.desktop,DesktopConfiguration,getName(),5,1,0,1,FALSE,FALSE,FALSE,FALSE
